Environment Canada
Monthly Values for February - 1974

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"ALBERT HEAD","48.400","-123.483","BC","",,NA,"",,"",,"0.0","0",NA,"157.6","0",NA,"","14","","",NA,"","","1010235"
"BAMBERTON OCEAN CEMENT","48.583","-123.517","BC","",,NA,"",,"",,"0.0","0",NA,"159.4","0",NA,"","13","","",NA,"","","1010595"
"BRENTWOOD CLARKE ROAD","48.567","-123.450","BC","",,NA,"",,"",,"0.0","0",NA,"117.1","0",NA,"","14","","",NA,"","","1010961"
"CENTRAL SAANICH VEYANESS","48.583","-123.417","BC","",,NA,"",,"",,"0.8","0",NA,"95.8","0",NA,"","11","","",NA,"","","1011467"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.8","0","16.0","93.1","0","111.0","","12","","",NA,"","","10114F6"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"189.9","0",NA,"","18","","",NA,"","","1011500"
"COBBLE HILL DELOUME ROAD","48.650","-123.567","BC","",,NA,"",,"",,"0.0","0",NA,"158.7","0",NA,"","19","","",NA,"","","1011745"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","5.1","0",NA,"10.0","0","-0.6","0","0.0","0",NA,"110.6","0",NA,"","14","","",NA,"362.1","0.0","1011922"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","4.3","0",NA,"10.6","0","-1.7","0","0.0","0",NA,"133.3","0",NA,"","17","38.0","0",NA,"384.6","0.0","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","3.5","0","-0.5","11.1","0","-2.8","0","19.1","0","73.0","357.8","0","144.0","","18","36.3","0","48.0","406.0","0.0","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","3.6","0","-0.5","14.4","0","-7.2","0","0.0","0","0.0","335.7","0","149.0","","19","","",NA,"403.9","0.0","1012055"
"DUNCAN BCHPA VIT","48.833","-123.717","BC","3.9","0",NA,"11.1","0","-4.4","0","0.0","0",NA,"169.7","0",NA,"","18","","",NA,"394.6","0.0","1012562"
