Environment Canada
Monthly Values for March - 1979

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BAMBERTON OCEAN CEMENT","48.583","-123.517","BC","",,NA,"",,"",,"0.0","0",NA,"54.9","0",NA,"","4","","",NA,"","","1010595"
"BRENTWOOD CLARKE ROAD","48.567","-123.450","BC","",,NA,"",,"",,"0.0","0",NA,"42.9","0",NA,"","5","","",NA,"","","1010961"
"CENTRAL SAANICH VEYANESS","48.583","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"34.6","0",NA,"","4","","",NA,"","","1011467"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.0","0","0.0","29.9","0","43.0","","4","","",NA,"","","10114F6"
"COBBLE HILL DELOUME ROAD","48.650","-123.567","BC","",,NA,"",,"",,"0.0","0",NA,"52.1","0",NA,"","6","","",NA,"","","1011745"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","7.5","0",NA,"16.1","0","0.6","0","0.0","0",NA,"35.6","0",NA,"","5","","",NA,"326.5","0.0","1011922"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","7.2","0",NA,"18.9","0","-1.1","0","0.0","0",NA,"46.7","0",NA,"","4","185.6","0",NA,"333.9","0.0","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","6.3","1","0.4","19.5","0","-4.0","1","0.0","0","0.0","120.0","0","53.0","","8","159.2","0","150.0","351.6","0.0","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","",,"","19.5","22","-2.0","22","0.0","0","0.0","117.1","0","54.0","","7","","",NA,"","","1012055"
"DUNCAN FORESTRY","48.767","-123.683","BC","7.1","0",NA,"19.5","0","-3.0","0","0.0","0",NA,"56.8","0",NA,"","7","","",NA,"338.4","0.0","1012570"
"EAST SOOKE ANDERSON COVE","48.350","-123.633","BC","7.2","0",NA,"19.0","0","-2.0","0","0.0","0",NA,"73.8","0",NA,"","8","","",NA,"335.5","0.0","1012628"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","",,NA,"",,"",,"0.0","0",NA,"44.5","0",NA,"","7","","",NA,"","","1012710"
"GANGES MANSELL RD","48.872","-123.497","BC","",,NA,"",,"",,"0.0","0",NA,"34.4","0",NA,"","5","","",NA,"","","1013051"
"GALIANO NORTH","48.985","-123.574","BC","7.7","0",NA,"17.5","0","-0.5","0","0.0","0",NA,"39.7","0",NA,"","4","","",NA,"319.4","0.0","10130MN"
"MAYNE ISLAND","48.845","-123.320","BC","",,"","",,"",,"0.0","0","0.0","32.2","0","43.0","","4","","",NA,"","","1014931"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0","0.0","55.9","0","63.0","","7","","",NA,"","","1015105"
"METCHOSIN HAPPY VALLEY","48.417","-123.533","BC","",,NA,"",,"",,"0.0","0","0.0","74.0","0","77.0","","7","","",NA,"","","1015107"
"MILL BAY KILMALU","48.650","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"46.1","0",NA,"","5","","",NA,"","","1015134"
"MUIR CREEK 1W","48.383","-123.883","BC","",,NA,"",,"",,"0.0","0",NA,"111.8","0",NA,"","9","","",NA,"","","1015242"
"PIERS ISLAND","48.700","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"35.5","0",NA,"","5","","",NA,"","","1016169"
"PORT RENFREW","48.591","-124.326","BC","6.9","0","0.7","17.8","0","-1.7","0","0.0","0","0.0","333.2","0","92.0","","13","","",NA,"344.1","0.0","1016335"
"SAANICHTON CDA","48.698","-123.594","BC","7.5","0","0.5","17.0","0","-0.5","0","0.0","0","0.0","36.8","0","46.0","0.0","4","167.0","0","129.0","324.1","0.0","1016940"
"SALTSPRING IS CUSHEON LK","48.820","-123.477","BC","6.7","0","0.9","18.0","0","-3.0","0","0.0","0","0.0","36.7","0","36.0","","6","","",NA,"351.4","0.0","1016992"
"SALTSPRING ST MARY'S L","48.888","-123.547","BC","7.3","0","0.3","17.8","0","0.0","0","0.0","0","0.0","37.7","0","43.0","","3","","",NA,"332.8","0.0","1016995"
"SHAWNIGAN LAKE","48.647","-123.627","BC","6.6","0","0.5","17.8","0","-2.2","0","0.0","0","0.0","62.8","0","53.0","","5","","",NA,"354.3","0.0","1017230"
"SOOKE","48.367","-123.733","BC","",,NA,"",,"",,"0.0","0",NA,"86.5","0",NA,"","8","","",NA,"","","1017556"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0","0.0","81.6","0","59.0","","5","","",NA,"","","1017563"
"SOOKE SASEENOS","48.383","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"87.1","0",NA,"","6","","",NA,"","","1017575"
"SOUTH PENDER ISLAND 2","48.750","-123.217","BC","7.5","0",NA,"17.2","0","-0.6","0","0.0","0",NA,"29.8","0",NA,"","5","","",NA,"325.9","0.0","1017610"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","8.4","0",NA,"18.3","0","1.7","0","0.0","0",NA,"25.8","0",NA,"0.0","3","209.3","0",NA,"297.9","0.0","1018610"
"VICTORIA GORDON HEAD","48.467","-123.300","BC","",,NA,"",,"",,"0.0","0",NA,"28.0","0",NA,"","4","","",NA,"","","1018614"
"VICTORIA HIGHLAND","48.509","-123.508","BC","",,"","",,"",,"0.0","0","0.0","55.1","0","57.0","","4","","",NA,"","","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","7.0","0","0.2","17.8","0","-1.8","0","0.0","0","0.0","35.2","0","45.0","0.0","5","193.5","0","133.0","341.9","0.0","1018620"
"VICTORIA MARINE","48.367","-123.750","BC","7.1","0",NA,"15.2","0","-0.9","0","0.0","0",NA,"85.7","0",NA,"0.0","8","","",NA,"339.3","0.0","1018642"
"VICTORIA TILLICUM","48.450","-123.392","BC","7.6","0",NA,"19.0","0","-3.0","0","0.0","0",NA,"35.4","0",NA,"","4","","",NA,"322.5","0.0","1018660"
