Environment Canada
Monthly Values for December - 1983

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"14.0","0","123.0","108.1","0","81.0","0.0","15","","",NA,"","","10114F6"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"8.5","0","59.0","108.2","0","68.0","0.0","13","","",NA,"","","1011810"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","2.8","8",NA,"10.0","8","-10.0","7","8.2","13",NA,"80.2","13",NA,"","11","","",NA,"349.5","0.0","1011922"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","0.5","0",NA,"10.0","0","-12.0","0","22.2","0",NA,"102.8","0",NA,"0.0","14","50.8","0",NA,"541.2","0.0","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","0.0","0","-2.9","8.5","0","-13.5","0","26.5","0","134.0","172.4","0","51.0","0.0","13","60.7","0","154.0","557.5","0.0","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","-0.5","0","-3.0","8.5","0","-14.5","0","26.0","0","181.0","154.5","0","52.0","","13","","",NA,"573.7","0.0","1012055"
"DUNCAN FORESTRY","48.767","-123.683","BC","-0.6","0",NA,"10.0","0","-16.5","0","37.0","0",NA,"128.6","0",NA,"0.0","13","","",NA,"575.4","0.0","1012570"
"ELK LAKE 2","48.533","-123.383","BC","",,NA,"",,"",,"17.1","0",NA,"96.9","0",NA,"0.0","13","","",NA,"","","1012656"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","",,NA,"",,"",,"12.0","0",NA,"101.5","0",NA,"0.0","14","","",NA,"","","1012710"
"GANGES MANSELL RD","48.872","-123.497","BC","",,NA,"",,"",,"9.8","0",NA,"95.9","0",NA,"0.0","15","","",NA,"","","1013051"
"GALIANO NORTH","48.985","-123.574","BC","2.8","8",NA,"10.5","7","-7.5","6","5.6","0",NA,"107.4","0",NA,"0.0","12","","",NA,"348.5","0.0","10130MN"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"9.5","0","154.0","113.0","0","77.0","0.0","13","","",NA,"","","1015105"
"METCHOSIN HAPPY VALLEY","48.417","-123.533","BC","",,NA,"",,"",,"11.8","0","136.0","95.4","0","60.0","0.0","8","","",NA,"","","1015107"
"MUIR CREEK 1W","48.383","-123.883","BC","",,NA,"",,"",,"3.5","0",NA,"151.0","0",NA,"0.0","12","","",NA,"","","1015242"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"23.6","0","249.0","118.8","0","67.0","0.0","10","","",NA,"","","1015628"
"NORTH PENDER ISLAND","48.813","-123.317","BC","1.6","0",NA,"11.0","0","-6.5","0","7.9","0",NA,"75.4","0",NA,"0.0","10","","",NA,"508.1","0.0","1015638"
"PIERS ISLAND","48.700","-123.417","BC","",,NA,"",,"",,"7.6","0",NA,"76.0","0",NA,"0.0","12","","",NA,"","","1016169"
"SAANICHTON CDA","48.698","-123.594","BC","1.5","0","-3.0","10.0","0","-7.5","0","8.5","0","127.0","87.5","0","62.0","0.0","13","69.9","0","146.0","511.2","0.0","1016940"
"SALTSPRING IS CUSHEON LK","48.820","-123.477","BC","-0.3","0","-2.6","10.0","0","-14.5","0","13.8","0","105.0","121.2","0","80.0","0.0","17","","",NA,"565.9","0.0","1016992"
"SALTSPRING ST MARY'S L","48.888","-123.547","BC","1.1","0","-3.1","9.0","0","-10.0","0","9.0","0","78.0","115.3","0","75.0","0.0","17","","",NA,"525.4","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"12.3","0","117.0","91.8","0","63.0","0.0","13","","",NA,"","","1016RM0"
"SATURNA ISLAND CS","48.783","-123.050","BC","2.1","0",NA,"11.5","0","-8.0","0","6.5","0",NA,"65.6","0",NA,"0.0","12","98.2","0",NA,"493.4","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","-0.1","0","-3.1","9.5","0","-14.5","0","24.7","0","166.0","122.6","0","63.0","0.0","15","","",NA,"559.8","0.0","1017230"
"SOOKE","48.367","-123.733","BC","",,NA,"",,"",,"7.4","0",NA,"127.0","0",NA,"0.0","12","","",NA,"","","1017556"
"SOOKE GLINZ LAKE","48.417","-123.633","BC","-0.1","0",NA,"7.0","0","-11.0","0","10.0","0",NA,"133.2","0",NA,"0.0","15","","",NA,"561.4","0.0","1017559"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"16.2","0","101.0","176.8","0","76.0","1.0","15","","",NA,"","","1017563"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","2.5","0",NA,"10.1","0","-7.9","0","16.5","0",NA,"67.8","0",NA,"0.0","12","95.4","0",NA,"481.9","0.0","1018610"
"VICTORIA HIGHLAND","48.509","-123.508","BC","",,"","",,"",,"12.9","0","120.0","117.5","0","65.0","1.0","13","","",NA,"","","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","1.4","0","-2.7","10.8","0","-8.1","0","17.1","0","125.0","93.4","0","66.0","0.0","14","88.1","0","149.0","515.6","0.0","1018620"
"VICTORIA MARINE","48.367","-123.750","BC","1.9","0",NA,"10.2","0","-10.7","0","5.5","0",NA,"127.4","0",NA,"0.0","15","","",NA,"500.0","0.0","1018642"
"WILLIAM HEAD","48.340","-123.532","BC","1.7","0","-3.7","10.0","0","-8.5","0","9.9","0","388.0","99.7","0","76.0","","16","","",NA,"504.6","0.0","1018935"
"VICTORIA U VIC","48.467","-123.333","BC","",,NA,"",,"",,"12.0","0",NA,"89.3","0",NA,"0.0","13","","",NA,"","","1018FF6"
"GALIANO SOUTH 2","48.883","-123.350","BC","0.9","1",NA,"10.0","0","-11.5","1","6.2","1",NA,"85.2","1",NA,"0.0","12","","",NA,"512.7","0.0","101C0ME"
"VICTORIA PHYLLIS STREET","48.455","-123.267","BC","2.9","0",NA,"10.0","0","-7.0","0","10.1","0",NA,"77.7","0",NA,"","14","","",NA,"467.9","0.0","101HFEE"
"VICTORIA PRINCESS AVE","48.433","-123.350","BC","",,NA,"",,"",,"9.8","0",NA,"89.0","0",NA,"","12","","",NA,"","","101Q655"
"VICTORIA PROSPECT LAKE","48.517","-123.433","BC","",,NA,"",,"",,"10.0","0",NA,"104.4","0",NA,"0.0","13","","",NA,"","","101Q6NN"
"ALERT BAY","50.583","-126.933","BC","1.7","0",NA,"9.5","0","-8.3","0","2.4","0",NA,"108.3","0",NA,"0.0","10","","",NA,"506.8","0.0","1020270"
"BALLENAS ISLAND","49.350","-124.160","BC","",,NA,"",,"",,"2.9","0",NA,"56.6","0",NA,"0.0","12","","",NA,"","","1020590"
"BLACK CREEK","49.846","-125.133","BC","",,"","",,"",,"19.6","0","123.0","135.4","0","51.0","0.0","9","","",NA,"","","1020880"
"BLIND CHANNEL","50.417","-125.500","BC","",,NA,"",,"",,"18.5","0",NA,"118.7","0",NA,"0.0","12","","",NA,"","","1020885"
