Environment Canada
Monthly Values for November - 1987

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BRENTWOOD BAY 2","48.600","-123.467","BC","",,NA,"",,"",,"0.0","0",NA,"56.9","16",NA,"0.0","4","","",NA,"","","1010960"
"CENTRAL SAANICH VEYANESS","48.583","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"86.8","0",NA,"0.0","13","","",NA,"","","1011467"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.0","0","0.0","76.9","0","50.0","0.0","10","","",NA,"","","10114F6"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"0.0","0","0.0","82.8","0","40.0","0.0","13","","",NA,"","","1011810"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","8.8","0",NA,"15.0","0","2.0","0","0.0","0",NA,"78.1","0",NA,"0.0","11","","",NA,"277.5","0.0","1011922"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","",,NA,"",,"",,"0.0","0",NA,"90.6","18",NA,"0.0","5","","",NA,"","","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","7.2","0","1.7","15.5","0","-1.5","0","2.0","0","18.0","344.0","0","88.0","0.0","16","38.7","0","79.0","324.2","0.0","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","7.5","0","2.2","17.0","0","-2.0","0","0.0","0","0.0","331.6","0","97.0","0.0","17","","",NA,"313.9","0.0","1012055"
"DUNCAN FORESTRY","48.767","-123.683","BC","7.0","0",NA,"15.0","0","-5.5","0","0.0","0",NA,"148.2","0",NA,"0.0","14","","",NA,"330.0","0.0","1012570"
"DUNCAN KELVIN CREEK","48.733","-123.726","BC","5.2","19","-0.6","11.0","19","-2.0","19","0.0","0","0.0","171.2","0","75.0","0.0","14","","",NA,"140.8","0.0","1012573"
