Environment Canada
Monthly Values for August - 1988

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"ACTIVE PASS","48.867","-123.283","BC","",,NA,"",,"",,"0.0","0",NA,"33.8","0",NA,"0.0","3","","",NA,"","","1010066"
"BRENTWOOD BAY 2","48.600","-123.467","BC","",,NA,"",,"",,"0.0","0",NA,"27.3","0",NA,"0.0","3","","",NA,"","","1010960"
"CENTRAL SAANICH VEYANESS","48.583","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"29.8","0",NA,"0.0","3","","",NA,"","","1011467"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.0","0",NA,"31.0","0","118.0","0.0","3","","",NA,"","","10114F6"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"0.0","0",NA,"20.1","0","91.0","0.0","2","","",NA,"","","1011810"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","17.1","0",NA,"26.0","0","10.0","0","0.0","0",NA,"32.2","0",NA,"0.0","2","","",NA,"38.3","9.7","1011922"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","",,NA,"",,"",,"0.0","0",NA,"23.8","0",NA,"0.0","3","","",NA,"","","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","17.4","0","-0.7","31.5","0","6.0","0","0.0","0",NA,"19.1","0","42.0","0.0","2","246.8","0","109.0","35.9","18.7","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","18.1","2","0.0","34.0","1","6.0","1","0.0","0",NA,"18.0","0","45.0","0.0","3","","",NA,"25.2","27.7","1012055"
"DUNCAN FORESTRY","48.767","-123.683","BC","18.6","0",NA,"31.0","0","7.5","0","0.0","0",NA,"17.4","0",NA,"0.0","2","","",NA,"18.7","36.7","1012570"
"DUNCAN KELVIN CREEK","48.733","-123.726","BC","17.1","0","-0.7","30.5","0","5.5","0","0.0","0",NA,"9.9","0","30.0","0.0","1","","",NA,"43.6","16.1","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","",,NA,"",,"",,"0.0","0",NA,"26.8","0",NA,"0.0","2","","",NA,"","","1012710"
"GANGES MANSELL RD","48.872","-123.497","BC","",,NA,"",,"",,"0.0","0",NA,"21.4","0",NA,"0.0","2","","",NA,"","","1013051"
"GALIANO NORTH","48.985","-123.574","BC","17.9","0",NA,"28.0","0","11.0","0","0.0","0",NA,"25.8","0",NA,"0.0","3","","",NA,"24.4","22.5","10130MN"
"MAYNE ISLAND","48.845","-123.320","BC","16.4","0","-0.5","29.0","0","7.5","0","0.0","0",NA,"35.4","0","149.0","0.0","3","","",NA,"57.5","8.6","1014931"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"24.7","0","99.0","0.0","2","","",NA,"","","1015105"
"METCHOSIN HAPPY VALLEY","48.417","-123.533","BC","",,NA,"",,"",,"0.0","0",NA,"21.3","0","86.0","0.0","2","","",NA,"","","1015107"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","0",NA,"27.5","0","92.0","0.0","2","","",NA,"","","1015628"
"PENDER ISLAND","48.767","-123.300","BC","17.4","0",NA,"29.0","0","10.0","0","0.0","0",NA,"31.2","0",NA,"0.0","3","","",NA,"36.2","16.8","1016120"
"PORT RENFREW","48.591","-124.326","BC","15.1","0","-0.4","26.5","0","8.0","0","0.0","0",NA,"32.2","0","39.0","0.0","3","","",NA,"89.3","0.8","1016335"
"RACE ROCKS LIGHTSTATION","48.300","-123.533","BC","13.2","0",NA,"20.5","0","8.5","0","0.0","0",NA,"24.2","0",NA,"0.0","2","","",NA,"149.8","0.0","1016641"
"SAANICHTON CDA","48.698","-123.594","BC","17.0","0","-0.1","27.5","0","9.5","0","0.0","0",NA,"35.6","0","134.0","0.0","3","288.4","0","108.0","42.3","12.1","1016940"
"SALTSPRING IS CUSHEON LK","48.820","-123.477","BC","16.1","0","-0.1","28.0","0","6.0","0","0.0","0",NA,"21.6","0","82.0","0.0","3","","",NA,"64.3","5.4","1016992"
"SALTSPRING ST MARY'S L","48.888","-123.547","BC","17.8","0","-0.6","27.5","0","10.5","0","0.0","0",NA,"14.6","0","52.0","0.0","2","","",NA,"30.3","23.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"24.4","0","92.0","0.0","3","","",NA,"","","1016RM0"
"SATURNA ISLAND CS","48.783","-123.050","BC","16.9","0",NA,"25.0","0","11.0","0","0.0","0",NA,"18.2","0",NA,"0.0","2","297.8","0",NA,"43.5","10.6","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","17.6","0","-0.3","30.0","0","8.0","0","0.0","0",NA,"16.8","0","60.0","0.0","3","","",NA,"34.2","20.3","1017230"
"SOOKE","48.367","-123.733","BC","",,NA,"",,"",,"0.0","0",NA,"16.1","0",NA,"0.0","3","","",NA,"","","1017556"
"SOOKE GLINZ LAKE","48.417","-123.633","BC","16.1","5",NA,"30.0","4","7.0","3","0.0","0",NA,"28.0","0",NA,"0.0","4","","",NA,"58.1","7.8","1017559"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0",NA,"16.8","0","54.0","0.0","3","","",NA,"","","1017563"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","15.5","6",NA,"26.0","6","10.0","6","0.0","0",NA,"26.8","0",NA,"0.0","2","205.1","0",NA,"63.0","1.6","1018610"
"VICTORIA HIGHLAND","48.509","-123.508","BC","16.9","2","-0.3","31.0","1","6.5","1","0.0","0",NA,"22.8","0","81.0","0.0","3","","",NA,"45.1","13.6","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","15.9","0","-0.9","27.6","0","6.6","0","0.0","0",NA,"27.8","0","117.0","0.0","3","319.4","0","107.0","68.1","2.6","1018620"
"VICTORIA MARINE","48.367","-123.750","BC","14.3","0",NA,"23.5","0","6.0","0","0.0","0",NA,"16.9","0",NA,"0.0","4","","",NA,"115.1","0.0","1018642"
"WILLIAM HEAD","48.340","-123.532","BC","16.1","0","-0.4","25.0","0","9.0","0","0.0","0",NA,"25.4","0","115.0","0.0","2","","",NA,"59.5","1.3","1018935"
