Environment Canada
Monthly Values for July - 1990

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BRENTWOOD BAY 2","48.600","-123.467","BC","",,NA,"",,"",,"0.0","0",NA,"7.4","0",NA,"0.0","2","","",NA,"","","1010960"
"CENTRAL SAANICH VEYANESS","48.583","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"4.8","0",NA,"0.0","1","","",NA,"","","1011467"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.0","0",NA,"8.0","0","42.0","0.0","2","","",NA,"","","10114F6"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"0.0","0",NA,"9.6","0","50.0","0.0","2","","",NA,"","","1011810"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","18.1","0",NA,"30.0","0","11.0","0","0.0","0",NA,"9.4","0",NA,"0.0","3","","",NA,"23.9","26.1","1011922"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","",,NA,"",,"",,"0.0","0",NA,"4.7","0",NA,"0.0","2","","",NA,"","","1012010"
"COWICHAN BAY SOUTHEAST","48.733","-123.600","BC","",,NA,"",,"",,"0.0","0",NA,"20.5","0",NA,"0.0","3","","",NA,"","","1012018"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","19.1","0","1.4","34.5","0","9.5","0","0.0","0",NA,"6.2","0","17.0","0.0","2","297.2","0","128.0","17.7","53.3","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","19.5","0","1.7","35.0","0","8.0","0","0.0","0",NA,"5.0","0","14.0","0.0","1","","",NA,"17.9","64.7","1012055"
"DUNCAN KELVIN CREEK","48.733","-123.726","BC","19.1","0","1.2","33.5","0","7.0","0","0.0","0",NA,"12.4","0","56.0","0.0","3","","",NA,"15.1","48.0","1012573"
