Environment Canada
Monthly Values for June - 1992

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"ACTIVE PASS","48.867","-123.283","BC","",,NA,"",,"",,"0.0","0",NA,"49.9","0",NA,"0.0","6","","",NA,"","","1010066"
"ALBERT HEAD","48.400","-123.483","BC","",,NA,"",,"",,"0.0","0",NA,"36.9","0",NA,"0.0","8","","",NA,"","","1010235"
"BRENTWOOD BAY 2","48.600","-123.467","BC","",,NA,"",,"",,"0.0","0",NA,"46.4","0",NA,"0.0","8","","",NA,"","","1010960"
"CENTRAL SAANICH VEYANESS","48.583","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"54.2","0",NA,"0.0","8","","",NA,"","","1011467"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.0","0",NA,"46.6","0","152.0","0.0","6","","",NA,"","","10114F6"
"CHEMAINUS","48.935","-123.742","BC","18.0","0",NA,"30.5","0","9.5","0","0.0","0",NA,"53.3","0",NA,"0.0","7","","",NA,"37.6","36.7","1011500"
"COBBLE HILL","48.683","-123.600","BC","",,NA,"",,"",,"0.0","0",NA,"45.2","0",NA,"0.0","8","","",NA,"","","1011743"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"0.0","0",NA,"38.0","0","129.0","0.0","7","","",NA,"","","1011810"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","16.7","0",NA,"27.5","0","8.5","0","0.0","0",NA,"42.6","0",NA,"0.0","6","","",NA,"51.7","12.2","1011922"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","",,NA,"",,"",,"0.0","0",NA,"46.1","0",NA,"0.0","7","","",NA,"","","1012010"
"COWICHAN BAY SOUTHEAST","48.733","-123.600","BC","17.2","0",NA,"31.5","0","7.0","0","0.0","0",NA,"55.6","0",NA,"0.0","7","","",NA,"53.6","28.1","1012018"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","17.5","0","2.6","33.5","0","6.5","0","0.0","0",NA,"60.6","0","104.0","0.0","8","236.5","0","133.0","49.9","33.9","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","17.6","0","2.6","37.0","0","4.0","0","0.0","0",NA,"44.9","0","78.0","0.0","9","","",NA,"57.2","45.2","1012055"
"DUNCAN KELVIN CREEK","48.733","-123.726","BC","17.3","0","2.0","33.0","0","5.0","0","0.0","0",NA,"40.8","0","111.0","0.0","7","","",NA,"52.5","31.9","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","15.6","5",NA,"26.0","4","9.0","5","0.0","0",NA,"27.6","0",NA,"0.0","4","","",NA,"63.0","3.8","1012710"
"GANGES MANSELL RD","48.872","-123.497","BC","17.4","1",NA,"31.5","0","8.0","1","0.0","0",NA,"53.0","0",NA,"0.0","7","","",NA,"42.4","24.5","1013051"
"GALIANO NORTH","48.985","-123.574","BC","17.3","0",NA,"29.5","0","9.0","0","0.0","0",NA,"53.2","0",NA,"0.0","6","","",NA,"46.5","25.7","10130MN"
"HONEYMOON BAY NORTHWEST","48.831","-124.194","BC","",,NA,"",,"",,"0.0","0",NA,"65.0","0",NA,"0.0","8","","",NA,"","","1013519"
"LAKE COWICHAN","48.817","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"58.3","0",NA,"0.0","8","","",NA,"","","1014493"
"MALAHAT","48.575","-123.530","BC","18.0","1",NA,"33.1","0","7.3","1","",,NA,"44.2","0",NA,"0.0","5","","",NA,"43.3","44.0","1014820"
"MAYNE ISLAND","48.845","-123.320","BC","16.6","0","1.9","28.5","0","6.5","0","0.0","0",NA,"47.0","0","127.0","0.0","6","","",NA,"57.6","16.0","1014931"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"40.0","0","143.0","0.0","7","","",NA,"","","1015105"
"METCHOSIN HAPPY VALLEY","48.417","-123.533","BC","",,NA,"",,"",,"0.0","0",NA,"39.1","0","123.0","0.0","8","","",NA,"","","1015107"
"METCHOSIN PARRY BAY","48.383","-123.500","BC","16.2","0",NA,"28.0","0","7.0","0","0.0","0",NA,"39.4","0",NA,"0.0","8","","",NA,"64.1","10.9","1015111"
"MILL BAY 1 SOUTHWEST","48.645","-123.558","BC","",,NA,"",,"",,"0.0","0",NA,"51.6","0",NA,"0.0","7","","",NA,"","","1015136"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","0",NA,"39.0","0","104.0","0.0","7","","",NA,"","","1015628"
"NORTH PENDER ISLAND","48.813","-123.317","BC","",,NA,"",,"",,"0.0","0",NA,"42.9","0",NA,"0.0","5","","",NA,"","","1015638"
"PENDER ISLAND","48.767","-123.300","BC","17.3","0",NA,"29.0","0","9.5","0","0.0","0",NA,"43.8","0",NA,"0.0","7","","",NA,"42.3","20.4","1016120"
"POINT-NO-POINT","48.406","-123.991","BC","14.2","0",NA,"27.0","0","7.5","0","0.0","0",NA,"61.2","0",NA,"0.0","7","","",NA,"115.6","1.0","1016203"
"PORT RENFREW","48.591","-124.326","BC","15.1","0","1.7","29.0","0","7.0","0","0.0","0",NA,"94.2","0","87.0","0.0","8","","",NA,"93.3","5.9","1016335"
"RACE ROCKS LIGHTSTATION","48.300","-123.533","BC","13.4","0",NA,"26.0","0","9.0","0","0.0","0",NA,"34.2","0",NA,"0.0","7","","",NA,"139.7","0.8","1016641"
"SAANICHTON CDA","48.698","-123.594","BC","16.6","0","1.7","29.5","0","7.0","0","0.0","0",NA,"47.0","0","136.0","0.0","8","270.4","0","117.0","59.7","17.7","1016940"
"SALTSPRING IS CUSHEON LK","48.820","-123.477","BC","15.9","0","1.9","30.0","0","4.5","0","0.0","0",NA,"44.6","0","114.0","0.0","7","","",NA,"74.3","12.0","1016992"
"SALTSPRING ST MARY'S L","48.888","-123.547","BC","17.7","0","1.8","29.5","0","9.5","0","0.0","0",NA,"45.6","0","122.0","0.0","5","","",NA,"38.7","28.8","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"47.8","0","143.0","0.0","8","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.792","-123.143","BC","16.4","0","1.9","29.0","0","9.0","0","0.0","0",NA,"57.2","0","153.0","0.0","5","","",NA,"71.3","23.4","1017098"
"SATURNA CAPMON CS","48.772","-123.114","BC","18.6","0",NA,"32.3","0","10.3","0","",,NA,"56.0","0",NA,"","3","","",NA,"30.1","47.2","1017099"
"SATURNA ISLAND CS","48.783","-123.050","BC","16.5","0",NA,"26.0","0","9.5","0","0.0","0",NA,"49.2","0",NA,"0.0","6","273.1","0",NA,"63.7","18.5","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","17.2","0","2.1","31.5","0","7.0","0","0.0","0",NA,"50.8","0","127.0","0.0","7","","",NA,"52.6","28.3","1017230"
