Environment Canada
Monthly Values for April - 1999

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.0","0",NA,"29.6","0","63.0","0.0","7","","",NA,"","","10114F6"
"CHEMAINUS","48.935","-123.742","BC","9.3","0",NA,"21.0","0","0.5","0","0.0","0",NA,"28.9","0",NA,"0.0","8","","",NA,"261.2","0.0","1011500"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"0.0","0",NA,"25.0","0","42.0","0.0","9","","",NA,"","","1011810"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","",,NA,"",,"",,"0.0","0",NA,"20.1","0",NA,"0.0","7","","",NA,"","","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","7.7","0","-0.7","23.0","0","-2.5","0","0.0","0","0.0","49.5","0","35.0","0.0","9","190.6","0","135.0","308.6","0.0","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","8.0","0","-0.6","25.0","0","-3.0","0","0.0","0","0.0","50.4","0","37.0","0.0","10","","",NA,"300.0","0.0","1012055"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","8.1","0","-1.1","23.5","0","-2.0","0","0.0","0","0.0","40.6","0","49.0","0.0","10","","",NA,"297.7","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","8.9","0",NA,"21.3","0","1.4","0","",,NA,"10.6","0",NA,"","4","","",NA,"272.4","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.497","BC","8.8","0",NA,"22.5","0","0.0","0","0.0","0",NA,"23.6","0",NA,"0.0","7","","",NA,"275.9","0.0","1013051"
"GALIANO NORTH","48.985","-123.574","BC","9.2","2",NA,"19.5","0","1.5","2","0.0","0",NA,"27.4","0",NA,"0.0","7","","",NA,"245.9","0.0","10130MN"
"HONEYMOON BAY NORTHWEST","48.831","-124.194","BC","",,NA,"",,"",,"0.0","0",NA,"38.0","0",NA,"0.0","9","","",NA,"","","1013519"
"MALAHAT","48.575","-123.530","BC","8.2","0",NA,"20.4","0","0.1","0","0.0","0",NA,"11.8","0",NA,"","4","",,NA,"292.6","0.0","1014820"
"MAYNE ISLAND","48.845","-123.320","BC","8.8","0","-0.5","19.5","0","-0.5","0","0.0","0",NA,"26.1","0","47.0","0.0","7","","",NA,"275.5","0.0","1014931"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"28.6","0","48.0","0.0","6","","",NA,"","","1015105"
"MILL BAY 1 SOUTHWEST","48.645","-123.558","BC","",,NA,"",,"",,"0.0","0",NA,"22.0","0",NA,"0.0","5","","",NA,"","","1015136"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","0","0.0","26.0","0","38.0","0.0","7","","",NA,"","","1015628"
"NORTH PENDER ISLAND","48.813","-123.317","BC","9.2","0",NA,"20.0","0","1.0","0","0.0","0",NA,"27.5","0",NA,"0.0","7","","",NA,"263.2","0.0","1015638"
"PENDER ISLAND","48.767","-123.300","BC","9.7","0",NA,"21.0","0","2.0","0","0.0","0",NA,"29.6","0",NA,"0.0","7","","",NA,"248.8","0.0","1016120"
"POINT-NO-POINT","48.406","-123.991","BC","8.6","0",NA,"20.5","0","0.5","0","0.0","0",NA,"79.0","0",NA,"0.0","14","","",NA,"283.5","0.0","1016203"
"PORT RENFREW","48.591","-124.326","BC","7.3","0","-1.1","21.0","0","-1.0","0","2.0","0","317.0","120.8","0","47.0","0.0","15","","",NA,"321.8","0.0","1016335"
"SAANICHTON CDA","48.698","-123.594","BC","8.8","0","-0.4","21.5","0","0.5","0","0.0","0",NA,"23.4","0","45.0","0.0","7","219.7","0","130.0","274.9","0.0","1016940"
"SALTSPRING IS CUSHEON LK","48.820","-123.477","BC","7.5","0","-0.8","20.5","0","-2.0","0","0.0","0",NA,"28.8","0","40.0","0.0","9","","",NA,"314.3","0.0","1016992"
"SALTSPRING ST MARY'S L","48.888","-123.547","BC","9.4","0","-0.2","21.5","0","1.0","0","0.0","0",NA,"22.4","0","39.0","0.0","11","","",NA,"258.4","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"23.0","0","45.0","0.0","7","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.772","-123.114","BC","8.4","0","-0.7","20.5","0","1.0","0","0.0","0",NA,"37.0","0","70.0","0.0","9","","",NA,"288.7","0.0","1017098"
"SATURNA ISLAND CS","48.783","-123.050","BC","",,NA,"",,"",,"0.0","0",NA,"30.8","0",NA,"","7","",,NA,"","","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","7.7","1","-1.0","22.0","0","-1.5","1","0.0","0","0.0","27.2","0","38.0","0.0","8","","",NA,"299.1","0.0","1017230"
"SHERINGHAM POINT","48.383","-123.917","BC","8.6","0",NA,"19.9","0","2.9","0","0.0","0",NA,"",,NA,"","","",,NA,"280.9","0.0","1017254"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0","0.0","29.8","0","34.0","0.0","10","","",NA,"","","1017563"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","9.6","0",NA,"21.4","0","1.3","0","0.0","0",NA,"12.0","0",NA,"","4","",,NA,"251.7","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","0",NA,"22.1","0","44.0","0.0","7","","",NA,"","","1018605"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","9.5","0",NA,"22.6","0","2.6","0","",,NA,"14.6","0",NA,"","4","","",NA,"253.9","0.0","1018610"
"VICTORIA GONZALES CS","48.413","-123.325","BC","9.5","0",NA,"22.6","0","2.6","0","",,NA,"14.6","0",NA,"","4","",,NA,"253.9","0.0","1018611"
"VICTORIA HIGHLAND","48.509","-123.508","BC","7.7","0","-0.7","22.0","0","-2.0","0","0.0","0","0.0","25.2","0","39.0","0.0","7","","",NA,"308.0","0.0","1018616"
"VICTORIA HOLLAND 2","48.484","-123.406","BC","",,NA,"",,"",,"0.0","0",NA,"17.1","0",NA,"0.0","7","","",NA,"","","1018617"
"VICTORIA INT'L A","48.647","-123.426","BC","8.5","0","-0.5","21.7","0","-0.8","0","0.0","0","0.0","17.2","0","36.0","0.0","4","237.3","0","124.0","285.4","0.0","1018620"
"VICTORIA NORTHRIDGE","48.488","-123.399","BC","8.7","0",NA,"22.0","0","-1.5","0","0.0","0",NA,"15.8","0",NA,"0.0","6","","",NA,"279.1","0.0","1018651"
"VICTORIA TILLICUM","48.450","-123.392","BC","",,NA,"",,"",,"0.0","0",NA,"15.6","0",NA,"0.0","7","","",NA,"","","1018660"
"WILLIAM HEAD","48.340","-123.532","BC","9.4","0","0.1","22.5","0","3.0","0","0.0","0",NA,"26.0","0","49.0","0.0","10","","",NA,"257.1","0.0","1018935"
"VICTORIA HARTLAND CS","48.534","-123.459","BC","10.0","0",NA,"22.3","0","1.1","0","",,NA,"18.4","0",NA,"","5","","",NA,"239.3","0.0","1018FJ5"
"VICTORIA PHYLLIS STREET","48.455","-123.267","BC","9.4","2",NA,"18.5","2","2.5","1","0.0","0",NA,"18.4","0",NA,"0.0","4","","",NA,"240.2","0.0","101HFEE"
"BLACK CREEK","49.846","-125.133","BC","7.4","0","-1.1","20.0","0","-3.0","0","0.0","0","0.0","44.3","0","42.0","0.0","10","","",NA,"317.0","0.0","1020880"
"CAMPBELL RIVER A","49.951","-125.271","BC","7.4","0","-0.7","20.6","0","-2.9","0","0.0","0","0.0","51.1","0","55.0","0.0","9","","",NA,"319.4","0.0","1021261"
"CAMPBELL RIVER SURFSIDE","49.946","-125.208","BC","",,NA,"",,"",,"0.0","0",NA,"34.2","0","39.0","0.0","9","","",NA,"","","1021266"
"CAPE MUDGE","49.998","-125.195","BC","",,"","19.0","0","",,"0.0","0","0.0","42.6","0","45.0","0.0","10","","",NA,"","","1021330"
"CHATHAM POINT","50.333","-125.433","BC","8.2","0","-0.5","18.7","0","0.9","0","0.0","0","0.0","100.4","0","59.0","0.0","12","","",NA,"294.4","0.0","1021480"
"COMOX A","49.717","-124.900","BC","8.2","0","-0.6","20.0","0","-1.6","0","0.0","0","0.0","24.2","0","37.0","0.0","8","216.8","0","119.0","294.7","0.0","1021830"
"COOMBS","49.306","-124.427","BC","7.0","0","-1.2","22.0","0","-5.0","0","0.0","0",NA,"27.6","0","37.0","0.0","8","","",NA,"329.9","0.0","1021850"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","8.5","0",NA,"21.0","0","-2.5","0","0.0","0",NA,"42.7","0",NA,"0.0","7","","",NA,"286.3","0.0","1021960"
"COURTENAY PUNTLEDGE","49.686","-125.049","BC","7.2","6",NA,"21.0","3","-3.0","4","0.0","0",NA,"28.0","2",NA,"0.0","10","","",NA,"259.1","0.0","1021989"
"DUNCAN GLENORA","48.756","-123.765","BC","8.3","0",NA,"23.0","0","-2.5","0","0.0","0",NA,"33.5","0",NA,"0.0","11","","",NA,"290.4","0.0","1022571"
"ENTRANCE ISLAND CS","49.217","-123.800","BC","9.4","10",NA,"15.2","10","3.2","9","",,NA,"",,NA,"","","",,NA,"171.6","0.0","1022689"
"GABRIOLA ISLAND","49.154","-123.734","BC","7.5","0","-1.0","19.0","0","-3.5","0","0.0","0",NA,"54.4","0","87.0","0.0","8","","",NA,"316.3","0.0","1023042"
"HERIOT BAY SE","50.091","-125.204","BC","8.3","2",NA,"19.5","2","-0.5","1","0.0","0",NA,"49.3","0",NA,"0.0","9","","",NA,"272.2","0.0","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","7.3","0","-0.7","21.5","0","-3.0","0","0.0","0",NA,"25.2","0","39.0","0.0","8","","",NA,"322.4","0.0","1024638"
"MUD BAY","49.471","-124.794","BC","7.1","1","-1.5","19.0","1","-4.5","1","0.0","0",NA,"23.9","0","24.0","0.0","9","","",NA,"315.3","0.0","1025240"
"MYRA CREEK","49.576","-125.605","BC","7.1","21",NA,"19.0","12","-3.0","17","0.0","0",NA,"51.0","0",NA,"0.0","8","","",NA,"98.5","0.0","1025254"
"NANAIMO A","49.052","-123.870","BC","8.2","0","-0.8","23.1","0","-2.8","0","0.0","0","0.0","30.0","0","45.0","0.0","8","247.4","0","138.0","293.2","0.0","1025370"
"NANOOSE BAY SOUTH","49.252","-124.177","BC","",,NA,"",,"",,"0.0","0",NA,"33.4","0","52.0","0.0","8","","",NA,"","","1025377"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"41.0","0","57.0","0.0","9","","",NA,"","","10253G0"
"OYSTER RIVER UBC","49.883","-125.133","BC","7.3","4","-1.0","20.0","3","-2.0","3","0.0","0",NA,"31.0","0","36.0","0.0","7","","",NA,"278.3","0.0","1025915"
"PINE ISLAND","50.976","-127.728","BC","7.4","0","-0.9","19.0","0","1.0","0","0.0","0","0.0","148.8","0","108.0","0.0","16","","",NA,"318.4","0.0","1026170"
"PORT HARDY A","50.680","-127.366","BC","6.6","0","-0.8","17.3","0","-1.8","0","12.1","0","791.0","129.5","0","104.0","0.0","14","163.4","0","114.0","342.9","0.0","1026270"
"QUALICUM R FISH RESEARCH","49.394","-124.618","BC","8.1","0","-0.4","21.5","0","-1.0","0","0.0","0",NA,"30.8","0","39.0","0.0","9","","",NA,"296.0","0.0","1026565"
