Environment Canada
Monthly Values for January - 2000

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CENTRAL SAANICH ISL VIEW","48.573","-123.392","BC","",,NA,"",,"",,"9.6","0","98.0","98.0","0","70.0","0.0","15","","",NA,"","","10114F6"
"CHEMAINUS","48.934","-123.741","BC","3.5","0",NA,"10.0","0","-1.0","0","33.9","0",NA,"192.5","0",NA,"0.0","19","","",NA,"448.0","0.0","1011500"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"5.0","0","102.0","106.3","0","66.0","0.0","15","","",NA,"","","1011810"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","",,NA,"",,"",,"19.4","0",NA,"144.8","0",NA,"0.0","19","","",NA,"","","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","2.2","0","-1.1","8.5","0","-4.0","0","135.4","0","497.0","377.0","0","105.0","12.0","20","48.1","0","102.0","489.0","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","1.9","1","-1.7","8.0","0","-5.0","1","106.4","0","537.0","304.6","0","88.0","","16","","",NA,"484.5","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","6.5","0",NA,"10.5","0","1.5","0","",,NA,"",,NA,"","","","",NA,"357.6","0.0","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","2.5","0","-1.1","9.5","0","-4.0","0","40.2","0","175.0","181.7","0","73.0","0.0","20","","",NA,"481.9","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","4.9","0",NA,"10.9","0","0.3","0","",,NA,"94.8","0",NA,"","14","","",NA,"407.2","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","3.6","0",NA,"10.0","0","-2.5","0","6.6","0",NA,"139.8","0",NA,"0.0","20","","",NA,"445.4","0.0","1013051"
