Environment Canada
Monthly Values for September - 2000

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CENTRAL SAANICH ISL VIEW","48.573","-123.392","BC","",,NA,"",,"",,"0.0","0",NA,"23.0","0","80.0","0.0","4","","",NA,"","","10114F6"
"CHEMAINUS","48.934","-123.741","BC","15.5","0",NA,"26.0","0","7.0","0","0.0","0",NA,"25.8","0",NA,"0.0","7","","",NA,"79.3","3.3","1011500"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"0.2","0","######","20.0","0","66.0","0.0","4","","",NA,"","","1011810"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","",,NA,"",,"",,"0.0","0",NA,"18.3","0",NA,"0.0","4","","",NA,"","","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","15.2","0","0.0","29.5","0","1.5","0","0.0","0",NA,"40.2","0","73.0","0.0","7","140.9","0","77.0","88.3","3.3","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","15.4","0","0.2","33.0","0","3.0","0","0.0","0",NA,"41.9","0","81.0","0.0","6","","",NA,"85.3","5.8","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","15.5","0",NA,"25.0","0","10.5","0","",,NA,"0.0","0",NA,"","0","","",NA,"79.8","3.9","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","14.9","0","-0.3","29.5","0","0.0","0","0.0","0",NA,"23.6","0","75.0","0.0","4","","",NA,"95.6","2.5","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","13.9","0",NA,"23.2","0","5.6","0","",,NA,"22.4","0",NA,"","5","","",NA,"122.4","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","14.9","0",NA,"27.0","0","5.0","0","0.0","0",NA,"23.2","0",NA,"0.0","6","","",NA,"94.6","2.8","1013051"
"GALIANO NORTH","48.985","-123.574","BC","14.8","15",NA,"24.0","14","6.5","15","0.0","0",NA,"20.2","0",NA,"0.0","4","","",NA,"48.1","0.0","10130MN"
"HONEYMOON BAY NORTHWEST","48.831","-124.194","BC","",,NA,"",,"",,"0.0","0",NA,"55.6","0",NA,"0.0","8","","",NA,"","","1013519"
"MALAHAT","48.575","-123.530","BC","14.5","1",NA,"27.6","1","7.6","1","",,NA,"33.4","0",NA,"","6","",,NA,"105.1","4.2","1014820"
"MAYNE ISLAND","48.845","-123.320","BC","14.4","0","-0.1","26.0","0","5.0","0","0.0","0",NA,"28.8","0","103.0","0.0","5","","",NA,"110.4","1.5","1014931"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"26.8","0","82.0","0.0","4","","",NA,"","","1015105"
"MILL BAY 1 SOUTHWEST","48.645","-123.558","BC","",,NA,"",,"",,"0.0","0",NA,"18.6","0",NA,"0.0","4","","",NA,"","","1015136"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","0","0.0","18.5","0","51.0","0.0","6","","",NA,"","","1015628"
"NORTH PENDER ISLAND","48.813","-123.317","BC","15.1","5",NA,"26.0","4","5.5","3","0.0","0",NA,"26.4","0",NA,"0.0","5","","",NA,"74.9","2.3","1015638"
"POINT-NO-POINT","48.406","-123.991","BC","14.1","0",NA,"25.5","0","6.5","0","0.0","0",NA,"90.0","0",NA,"0.0","9","","",NA,"118.6","1.8","1016203"
"PORT RENFREW","48.591","-124.326","BC","13.8","0","0.4","23.5","0","3.5","0","0.0","0",NA,"184.6","0","149.0","0.0","11","","",NA,"126.0","0.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","14.7","0","0.2","26.5","0","5.0","0","0.0","0",NA,"24.4","0","82.0","0.0","4","179.6","0","86.0","101.0","2.5","1016940"
"SALTSPRING IS CUSHEON LK","48.820","-123.477","BC","12.5","0","-0.6","23.5","0","2.0","0","0.0","0",NA,"24.0","0","76.0","0.0","5","","",NA,"164.1","0.0","1016992"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","15.3","0","-0.1","25.0","0","7.0","0","0.0","0",NA,"24.5","0","74.0","0.0","5","","",NA,"83.9","2.8","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"22.8","0","78.0","0.0","4","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.772","-123.114","BC","14.3","0","-0.7","22.5","0","7.0","0","0.0","0",NA,"43.2","0","146.0","0.0","7","","",NA,"110.5","0.5","1017098"
"SATURNA ISLAND CS","48.784","-123.045","BC","16.2","0",NA,"24.7","0","9.8","0","",,NA,"36.8","0",NA,"","7","",,NA,"59.7","5.7","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","14.9","0","-0.1","29.0","0","4.0","0","0.0","0",NA,"19.4","0","58.0","0.0","4","","",NA,"96.8","2.6","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","14.4","0",NA,"24.9","0","8.9","0","",,NA,"40.4","0",NA,"","8","",,NA,"109.5","2.8","1017254"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0",NA,"28.4","0","69.0","0.0","4","","",NA,"","","1017563"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","14.6","0",NA,"24.7","0","4.4","0","",,NA,"19.0","0",NA,"","5","",,NA,"103.0","1.7","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","0",NA,"27.2","0","95.0","0.0","4","","",NA,"","","1018605"
"VICTORIA GONZALES HTS","48.413","-123.325","BC","14.8","0",NA,"25.7","0","7.6","0","",,NA,"20.6","0",NA,"","4","","",NA,"97.9","1.4","1018610"
"VICTORIA GONZALES CS","48.413","-123.325","BC","14.8","0",NA,"25.7","0","7.6","0","",,NA,"20.6","0",NA,"","4","",,NA,"97.3","1.4","1018611"
"VICTORIA HIGHLAND","48.509","-123.508","BC","13.9","0","-0.4","26.5","0","2.0","0","0.0","0",NA,"30.8","0","84.0","0.0","4","","",NA,"125.3","2.0","1018616"
"VICTORIA HOLLAND 2","48.484","-123.406","BC","",,NA,"",,"",,"0.0","0",NA,"24.5","0",NA,"0.0","4","","",NA,"","","1018617"
"VICTORIA INT'L A","48.647","-123.426","BC","14.2","0","0.0","27.3","0","3.8","0","0.0","0",NA,"20.4","0","66.0","0.0","5","198.1","0","87.0","116.6","2.4","1018620"
"WILLIAM HEAD","48.340","-123.532","BC","14.4","0","0.5","23.0","0","6.5","0","0.0","0",NA,"23.0","0","73.0","0.0","4","","",NA,"107.4","0.3","1018935"
"VICTORIA HARTLAND CS","48.534","-123.459","BC","15.5","0",NA,"27.7","0","6.9","0","",,NA,"26.8","0",NA,"","5","","",NA,"80.3","5.2","1018FJ5"
"VICTORIA PHYLLIS STREET","48.455","-123.267","BC","13.8","0",NA,"23.0","0","6.0","0","0.0","0",NA,"23.5","0",NA,"0.0","4","","",NA,"127.3","0.0","101HFEE"
"BALLENAS ISLAND","49.350","-124.160","BC","16.2","0",NA,"30.7","0","4.7","0","",,NA,"24.8","0",NA,"","3","","",NA,"56.8","2.6","1020590"
"BLACK CREEK","49.846","-125.133","BC","13.5","0","-0.1","24.5","0","0.5","0","0.0","0",NA,"37.2","0","69.0","0.0","9","","",NA,"136.0","0.0","1020880"
