Environment Canada
Monthly Values for May - 2007

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CENTRAL SAANICH ISL VIEW","48.573","-123.392","BC","",,NA,"",,"",,"0.0","0",NA,"15.6","0","41.0","0.0","3","","",NA,"","","10114F6"
"CHEMAINUS","48.935","-123.742","BC","13.2","0",NA,"26.0","0","4.5","0","0.0","0",NA,"32.2","0",NA,"0.0","8","","",NA,"151.8","2.3","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","11.8","0","-0.2","29.0","0","2.0","0","0.0","0","0.0","75.9","0","88.0","0.0","8","","",NA,"192.9","0.3","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","12.8","15","0.8","29.5","15","1.0","10","0.0","15",NA,"7.2","15",NA,"0.0","2","","",NA,"82.9","0.3","1012055"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","12.0","2","-0.3","26.5","2","2.5","2","0.0","2",NA,"32.4","2",NA,"0.0","7","","",NA,"174.4","0.5","1012573"
"GANGES MANSELL RD","48.872","-123.498","BC","11.9","2",NA,"26.5","2","2.5","2","0.0","2",NA,"26.6","2",NA,"0.0","5","","",NA,"177.5","0.0","1013051"
"GALIANO NORTH","48.985","-123.573","BC","12.7","1",NA,"24.0","1","4.5","1","0.0","1",NA,"35.6","1",NA,"0.0","7","","",NA,"160.5","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","10.5","9",NA,"24.1","9","2.6","7","",,NA,"",,NA,"","","",,NA,"164.3","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"23.6","0","59.0","0.0","4","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0",NA,"35.7","0","71.0","0.0","7","","",NA,"","","1015628"
"NORTH PENDER ISLAND","48.764","-123.287","BC","12.8","0",NA,"25.5","0","4.0","0","0.0","0",NA,"35.3","0",NA,"0.0","7","","",NA,"162.6","0.0","1015638"
"PORT RENFREW","48.591","-124.326","BC","11.0","0","-0.1","24.0","0","2.5","0","0.0","0","0.0","85.4","0","55.0","0.0","8","","",NA,"217.8","0.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","11.9","0","-0.3","25.0","0","3.0","0","0.0","0",NA,"18.4","0","44.0","0.0","5","","",NA,"189.3","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","13.2","0","0.3","25.0","0","5.5","0","0.0","0",NA,"31.4","0","73.0","0.0","10","","",NA,"151.1","1.8","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"16.0","0","40.0","0.0","4","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.775","-123.128","BC","11.8","0","-0.2","25.0","0","3.0","0","0.0","0",NA,"27.8","0","64.0","0.0","5","","",NA,"193.3","1.0","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","11.9","0",NA,"25.5","0","3.1","0","",,NA,"27.2","0",NA,"","5","",,NA,"192.1","1.9","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","13.9","0",NA,"25.3","0","7.2","0","",,NA,"26.0","0",NA,"","4","",,NA,"129.1","3.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","12.2","0","0.1","26.0","0","3.5","0","0.0","0",NA,"25.2","0","50.0","0.0","7","","",NA,"180.0","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","9.2","22",NA,"12.7","22","5.6","21","",,NA,"40.8","3",NA,"","11","",,NA,"79.3","0.0","1017254"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0","0.0","26.2","0","47.0","0.0","5","","",NA,"","","1017563"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","12.5","0",NA,"26.0","0","3.5","0","",,NA,"11.2","0",NA,"","2","",,NA,"172.7","0.7","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","28",NA,"13.7","28",NA,"","2","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","12.2","0",NA,"24.8","0","5.5","0","",,NA,"1.8","0",NA,"","0","",,NA,"178.5","0.0","1018611"
"VICTORIA HIGHLAND","48.509","-123.508","BC","11.6","0","-0.2","26.0","0","2.0","0","0.0","0",NA,"33.8","0","73.0","0.0","10","","",NA,"198.4","0.0","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","12.0","0","-0.1","25.1","0","2.0","0","0.0","0",NA,"19.8","0","53.0","0.0","4","284.7","0","118.0","185.2","0.0","1018620"
"WILLIAM HEAD","48.340","-123.539","BC","11.9","1","-0.2","25.0","1","5.0","1","0.0","1",NA,"12.8","1",NA,"0.0","3","","",NA,"182.0","0.0","1018935"
"BALLENAS ISLAND","49.350","-124.160","BC","12.8","0",NA,"20.8","0","7.2","0","",,NA,"9.8","0",NA,"","4","",,NA,"159.9","0.0","1020590"
"BLACK CREEK SE","49.803","-125.095","BC","11.3","13",NA,"26.0","13","2.0","13","0.0","13",NA,"25.6","13",NA,"0.0","5","","",NA,"120.5","0.0","1020881"
"CAMPBELL RIVER A","49.952","-125.273","BC","11.6","0","0.0","25.2","0","1.2","0","0.0","0",NA,"34.0","0","50.0","0.0","9","","",NA,"199.9","0.0","1021261"
"CAMPBELL RIVER SURFSIDE","49.945","-125.208","BC","",,"","",,"",,"0.0","0",NA,"19.0","0","33.0","0.0","6","","",NA,"","","1021266"
"CAPE MUDGE","49.998","-125.195","BC","12.5","3","0.4","24.0","3","4.0","3","0.0","3",NA,"24.5","3",NA,"0.0","7","","",NA,"153.7","0.0","1021330"
"CHATHAM POINT","50.333","-125.433","BC","11.8","0","0.0","22.0","0","5.0","0","0.0","0",NA,"65.2","0","49.0","0.0","11","","",NA,"193.4","0.0","1021480"
"COMOX A","49.717","-124.900","BC","12.1","0","-0.2","23.4","0","4.7","0","0.0","0",NA,"21.5","0","47.0","0.0","4","284.0","0","123.0","182.6","0.0","1021830"
"COOMBS","49.306","-124.429","BC","11.6","0","0.0","27.0","0","0.5","0","0.0","0","0.0","35.2","0","63.0","0.0","8","","",NA,"199.9","0.0","1021850"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","12.3","0",NA,"26.2","0","2.5","0","0.0","0",NA,"59.2","0",NA,"0.0","9","","",NA,"177.3","0.3","1021960"
